well_id,steam_volume_t,injection_pressure_bar,soak_hours,production_cutoff_bopd
BGW-001,1200,82.0,120,25.0
BGW-001,1215,82.3,120,25.0
BGW-001,1230,82.7,120,25.0
BGW-001,1245,83.0,120,25.0
BGW-001,1260,83.3,120,25.0
BGW-001,1275,83.6,120,25.0
BGW-001,1290,83.9,120,25.0
BGW-001,1305,84.2,120,25.0
BGW-001,1320,84.5,120,25.0
BGW-001,1335,84.7,120,25.0
BGW-001,1350,85.0,120,25.0
BGW-001,1365,85.2,120,25.0
BGW-001,1380,85.4,120,25.0
BGW-001,1395,85.5,120,25.0
BGW-001,1410,85.7,120,25.0
BGW-001,1425,85.8,120,25.0
BGW-001,1440,85.9,120,25.0
BGW-001,1455,86.0,120,25.0
BGW-001,1470,86.0,120,25.0
BGW-001,1485,86.0,120,25.0
BGW-001,1500,86.0,120,25.0
BGW-001,1515,85.9,120,25.0
BGW-001,1530,85.9,120,25.0
BGW-001,1545,85.8,120,25.0
BGW-001,1560,85.6,120,25.0
BGW-001,1575,85.5,120,25.0
BGW-001,1590,85.3,120,25.0
BGW-001,1605,85.1,120,25.0
BGW-001,1620,84.9,120,25.0
BGW-001,1635,84.7,120,25.0
BGW-001,1200,84.4,120,25.0
BGW-001,1215,84.1,120,25.0
BGW-001,1230,83.8,120,25.0
BGW-001,1245,83.5,120,25.0
BGW-001,1260,83.2,120,25.0
BGW-001,1275,82.9,120,25.0
BGW-001,1290,82.6,120,25.0
BGW-001,1305,82.2,120,25.0
BGW-001,1320,81.9,120,25.0
BGW-001,1335,81.6,120,25.0
BGW-001,1350,81.2,120,25.0
BGW-001,1365,80.9,120,25.0
BGW-001,1380,80.6,120,25.0
BGW-001,1395,80.3,120,25.0
BGW-001,1410,80.0,120,25.0
BGW-001,1425,79.7,120,25.0
BGW-001,1440,79.4,120,25.0
BGW-001,1455,79.2,120,25.0
BGW-001,1470,79.0,120,25.0
BGW-001,1485,78.8,120,25.0
BGW-001,1500,78.6,120,25.0
BGW-001,1515,78.4,120,25.0
BGW-001,1530,78.3,120,25.0
BGW-001,1545,78.2,120,25.0
BGW-001,1560,78.1,120,25.0
BGW-001,1575,78.0,120,25.0
BGW-001,1590,78.0,120,25.0
BGW-001,1605,78.0,120,25.0
BGW-001,1620,78.0,120,25.0
BGW-001,1635,78.1,120,25.0
BGW-001,1200,78.2,120,25.0
BGW-001,1215,78.3,120,25.0
BGW-001,1230,78.4,120,25.0
BGW-001,1245,78.6,120,25.0
BGW-001,1260,78.7,120,25.0
BGW-001,1275,79.0,120,25.0
BGW-001,1290,79.2,120,25.0
BGW-001,1305,79.4,120,25.0
BGW-001,1320,79.7,120,25.0
BGW-001,1335,80.0,120,25.0
BGW-001,1350,80.3,120,25.0
BGW-001,1365,80.6,120,25.0
BGW-001,1380,80.9,120,25.0
BGW-001,1395,81.2,120,25.0
BGW-001,1410,81.5,120,25.0
BGW-001,1425,81.9,120,25.0
BGW-001,1440,82.2,120,25.0
BGW-001,1455,82.5,120,25.0
BGW-001,1470,82.9,120,25.0
BGW-001,1485,83.2,120,25.0
BGW-001,1500,83.5,120,25.0
BGW-001,1515,83.8,120,25.0
BGW-001,1530,84.1,120,25.0
BGW-001,1545,84.4,120,25.0
BGW-001,1560,84.6,120,25.0
BGW-001,1575,84.9,120,25.0
BGW-001,1590,85.1,120,25.0
BGW-001,1605,85.3,120,25.0
BGW-001,1620,85.5,120,25.0
BGW-001,1635,85.6,120,25.0
BGW-002,1200,82.0,120,25.0
BGW-002,1215,82.3,120,25.0
BGW-002,1230,82.7,120,25.0
BGW-002,1245,83.0,120,25.0
BGW-002,1260,83.3,120,25.0
BGW-002,1275,83.6,120,25.0
BGW-002,1290,83.9,120,25.0
BGW-002,1305,84.2,120,25.0
BGW-002,1320,84.5,120,25.0
BGW-002,1335,84.7,120,25.0
BGW-002,1350,85.0,120,25.0
BGW-002,1365,85.2,120,25.0
BGW-002,1380,85.4,120,25.0
BGW-002,1395,85.5,120,25.0
BGW-002,1410,85.7,120,25.0
BGW-002,1425,85.8,120,25.0
BGW-002,1440,85.9,120,25.0
BGW-002,1455,86.0,120,25.0
BGW-002,1470,86.0,120,25.0
BGW-002,1485,86.0,120,25.0
BGW-002,1500,86.0,120,25.0
BGW-002,1515,85.9,120,25.0
BGW-002,1530,85.9,120,25.0
BGW-002,1545,85.8,120,25.0
BGW-002,1560,85.6,120,25.0
BGW-002,1575,85.5,120,25.0
BGW-002,1590,85.3,120,25.0
BGW-002,1605,85.1,120,25.0
BGW-002,1620,84.9,120,25.0
BGW-002,1635,84.7,120,25.0
BGW-002,1200,84.4,120,25.0
BGW-002,1215,84.1,120,25.0
BGW-002,1230,83.8,120,25.0
BGW-002,1245,83.5,120,25.0
BGW-002,1260,83.2,120,25.0
BGW-002,1275,82.9,120,25.0
BGW-002,1290,82.6,120,25.0
BGW-002,1305,82.2,120,25.0
BGW-002,1320,81.9,120,25.0
BGW-002,1335,81.6,120,25.0
BGW-002,1350,81.2,120,25.0
BGW-002,1365,80.9,120,25.0
BGW-002,1380,80.6,120,25.0
BGW-002,1395,80.3,120,25.0
BGW-002,1410,80.0,120,25.0
BGW-002,1425,79.7,120,25.0
BGW-002,1440,79.4,120,25.0
BGW-002,1455,79.2,120,25.0
BGW-002,1470,79.0,120,25.0
BGW-002,1485,78.8,120,25.0
BGW-002,1500,78.6,120,25.0
BGW-002,1515,78.4,120,25.0
BGW-002,1530,78.3,120,25.0
BGW-002,1545,78.2,120,25.0
BGW-002,1560,78.1,120,25.0
BGW-002,1575,78.0,120,25.0
BGW-002,1590,78.0,120,25.0
BGW-002,1605,78.0,120,25.0
BGW-002,1620,78.0,120,25.0
BGW-002,1635,78.1,120,25.0
BGW-002,1200,78.2,120,25.0
BGW-002,1215,78.3,120,25.0
BGW-002,1230,78.4,120,25.0
BGW-002,1245,78.6,120,25.0
BGW-002,1260,78.7,120,25.0
BGW-002,1275,79.0,120,25.0
BGW-002,1290,79.2,120,25.0
BGW-002,1305,79.4,120,25.0
BGW-002,1320,79.7,120,25.0
BGW-002,1335,80.0,120,25.0
BGW-002,1350,80.3,120,25.0
BGW-002,1365,80.6,120,25.0
BGW-002,1380,80.9,120,25.0
BGW-002,1395,81.2,120,25.0
BGW-002,1410,81.5,120,25.0
BGW-002,1425,81.9,120,25.0
BGW-002,1440,82.2,120,25.0
BGW-002,1455,82.5,120,25.0
BGW-002,1470,82.9,120,25.0
BGW-002,1485,83.2,120,25.0
BGW-002,1500,83.5,120,25.0
BGW-002,1515,83.8,120,25.0
BGW-002,1530,84.1,120,25.0
BGW-002,1545,84.4,120,25.0
BGW-002,1560,84.6,120,25.0
BGW-002,1575,84.9,120,25.0
BGW-002,1590,85.1,120,25.0
BGW-002,1605,85.3,120,25.0
BGW-002,1620,85.5,120,25.0
BGW-002,1635,85.6,120,25.0
BGW-003,1200,82.0,120,25.0
BGW-003,1215,82.3,120,25.0
BGW-003,1230,82.7,120,25.0
BGW-003,1245,83.0,120,25.0
BGW-003,1260,83.3,120,25.0
BGW-003,1275,83.6,120,25.0
BGW-003,1290,83.9,120,25.0
BGW-003,1305,84.2,120,25.0
BGW-003,1320,84.5,120,25.0
BGW-003,1335,84.7,120,25.0
BGW-003,1350,85.0,120,25.0
BGW-003,1365,85.2,120,25.0
BGW-003,1380,85.4,120,25.0
BGW-003,1395,85.5,120,25.0
BGW-003,1410,85.7,120,25.0
BGW-003,1425,85.8,120,25.0
BGW-003,1440,85.9,120,25.0
BGW-003,1455,86.0,120,25.0
BGW-003,1470,86.0,120,25.0
BGW-003,1485,86.0,120,25.0
BGW-003,1500,86.0,120,25.0
BGW-003,1515,85.9,120,25.0
BGW-003,1530,85.9,120,25.0
BGW-003,1545,85.8,120,25.0
