date,well_id,production_rate,oil_bopd,watercut,pressure_bar,temperature_c,oil_viscosity_cp,reservoir_condition,operating_stage,spm,stroke_m,vfd_hz,pump_efficiency_pct,rod_load_kn,rod_position_m,steam_volume_t,injection_pressure_bar,soak_hours,production_cutoff_bopd
2026-06-23,BGW-001,119.0,119.0,24.0,32.0,65.0,1555.6,STABLE PRODUCTION,CYCLE 1,8.0,3.2,42.0,92.0,58.0,1.9,1200,82.0,120,25.0
2026-06-24,BGW-001,121.7,121.7,24.1,32.6,65.6,1518.7,STABLE PRODUCTION,CYCLE 1,8.1,3.2,42.4,92.0,58.8,1.9,1215,82.3,120,25.0
2026-06-25,BGW-001,124.3,124.3,24.2,33.1,66.2,1482.7,STABLE PRODUCTION,CYCLE 1,8.3,3.2,42.8,91.8,59.6,1.9,1230,82.7,120,25.0
2026-06-26,BGW-001,126.8,126.8,24.2,33.7,66.8,1447.5,STABLE PRODUCTION,CYCLE 1,8.4,3.2,43.2,91.6,60.4,1.9,1245,83.0,120,25.0
2026-06-27,BGW-001,129.1,129.1,24.3,34.2,67.4,1413.2,STABLE PRODUCTION,CYCLE 1,8.6,3.2,43.6,91.3,61.1,1.9,1260,83.3,120,25.0
2026-06-28,BGW-001,131.1,131.1,24.4,34.6,68.0,1379.7,STABLE PRODUCTION,CYCLE 1,8.7,3.2,43.9,90.9,61.7,1.9,1275,83.6,120,25.0
2026-06-29,BGW-001,132.9,132.9,24.5,35.0,68.6,1347.0,STABLE PRODUCTION,CYCLE 1,8.8,3.2,44.3,90.4,62.2,1.9,1290,83.9,120,25.0
2026-06-30,BGW-001,134.4,134.4,24.6,35.4,69.2,1315.0,STABLE PRODUCTION,CYCLE 1,9.0,3.2,44.6,89.8,62.6,1.9,1305,84.2,120,25.0
2026-07-01,BGW-001,135.6,135.6,24.6,35.6,69.8,1283.8,STABLE PRODUCTION,CYCLE 1,9.1,3.2,44.9,89.2,62.9,1.9,1320,84.5,120,25.0
2026-07-02,BGW-001,136.5,136.5,24.7,35.8,70.4,1253.4,STABLE PRODUCTION,CYCLE 1,9.2,3.2,45.1,88.6,63.0,1.9,1335,84.7,120,25.0
