date,well_id,oil_bopd,temperature_c,pressure_bar,watercut
2026-09-17,BGW-001,122.1,82.1,37.4,16.8
2026-09-18,BGW-001,125.5,82.6,37.7,16.9
2026-09-19,BGW-001,125.7,83.1,38.0,17.0
2026-09-20,BGW-001,122.7,83.6,38.3,17.1
2026-09-21,BGW-001,119.1,84.1,38.6,17.2
2026-09-22,BGW-001,118.3,84.6,38.9,17.3
2026-09-23,BGW-001,121.0,85.1,39.2,17.4
2026-09-17,BGW-002,144.0,75.6,38.9,19.6
2026-09-18,BGW-002,147.4,76.1,39.2,19.7
2026-09-19,BGW-002,147.6,76.6,39.5,19.8
2026-09-20,BGW-002,144.5,77.1,39.8,19.9
2026-09-21,BGW-002,141.0,77.6,40.1,20.0
2026-09-22,BGW-002,140.1,78.1,40.4,20.1
2026-09-23,BGW-002,142.9,78.6,40.7,20.2
2026-09-17,BGW-003,144.6,67.3,34.5,22.4
2026-09-18,BGW-003,148.0,67.8,34.8,22.5
2026-09-19,BGW-003,148.3,68.3,35.1,22.6
2026-09-20,BGW-003,145.2,68.8,35.4,22.7
2026-09-21,BGW-003,141.6,69.3,35.7,22.8
2026-09-22,BGW-003,140.8,69.8,36.0,22.9
2026-09-23,BGW-003,143.5,70.3,36.3,23.0
2026-09-17,BGW-004,131.0,60.2,27.6,25.2
2026-09-18,BGW-004,134.3,60.7,27.9,25.3
2026-09-19,BGW-004,134.6,61.2,28.2,25.4
2026-09-20,BGW-004,131.5,61.7,28.5,25.5
2026-09-21,BGW-004,127.9,62.2,28.8,25.6
2026-09-22,BGW-004,127.1,62.7,29.1,25.7
2026-09-23,BGW-004,129.8,63.2,29.4,25.8
2026-09-17,BGW-005,58.5,56.6,23.3,28.0
2026-09-18,BGW-005,61.9,57.1,23.6,28.1
2026-09-19,BGW-005,62.1,57.6,23.9,28.2
2026-09-20,BGW-005,59.1,58.1,24.2,28.3
2026-09-21,BGW-005,55.5,58.6,24.5,28.4
2026-09-22,BGW-005,54.7,59.1,24.8,28.5
2026-09-23,BGW-005,57.4,59.6,25.1,28.6
2026-09-17,BGW-006,62.1,57.9,24.9,30.8
2026-09-18,BGW-006,65.5,58.4,25.2,30.9
2026-09-19,BGW-006,65.8,58.9,25.5,31.0
2026-09-20,BGW-006,62.7,59.4,25.8,31.1
