well_id,stroke_m,spm,vfd_hz,pump_efficiency_pct,rod_load_kn,rod_position_m
BGW-001,3.2,8.0,42.0,92.0,58.0,1.9
BGW-001,3.2,8.1,42.4,92.0,58.8,1.9
BGW-001,3.2,8.3,42.8,91.8,59.6,1.9
BGW-001,3.2,8.4,43.2,91.6,60.4,1.9
BGW-001,3.2,8.6,43.6,91.3,61.1,1.9
BGW-001,3.2,8.7,43.9,90.9,61.7,1.9
BGW-001,3.2,8.8,44.3,90.4,62.2,1.9
BGW-001,3.2,9.0,44.6,89.8,62.6,1.9
BGW-001,3.2,9.1,44.9,89.2,62.9,1.9
BGW-001,3.2,9.2,45.1,88.6,63.0,1.9
BGW-001,3.2,9.3,45.4,87.9,63.0,1.9
BGW-001,3.2,9.3,45.6,87.2,62.8,1.9
BGW-001,3.2,9.4,45.7,86.4,62.5,1.9
BGW-001,3.2,9.4,45.9,85.7,62.1,1.9
BGW-001,3.2,9.5,45.9,84.9,61.6,1.9
BGW-001,3.2,9.5,46.0,84.2,61.0,1.9
BGW-001,3.2,9.5,46.0,83.5,60.3,1.9
BGW-001,3.2,9.5,46.0,82.8,59.5,1.9
BGW-001,3.2,9.5,45.9,82.2,58.7,1.9
BGW-001,3.2,9.4,45.8,81.7,57.9,1.9
BGW-001,3.2,9.4,45.6,81.2,57.0,1.9
BGW-001,3.2,9.3,45.5,80.8,56.2,1.9
BGW-001,3.2,9.2,45.2,80.5,55.5,1.9
BGW-001,3.2,9.1,45.0,80.2,54.8,1.9
BGW-001,3.2,9.0,44.7,80.1,54.2,1.9
BGW-001,3.2,8.9,44.4,80.0,53.7,1.9
BGW-001,3.2,8.8,44.1,80.0,53.4,1.9
BGW-001,3.2,8.6,43.7,80.2,53.1,1.9
BGW-001,3.2,8.5,43.3,80.4,53.0,1.9
BGW-001,3.2,8.4,43.0,80.7,53.0,1.9
BGW-001,3.2,8.2,42.6,81.1,53.2,1.9
BGW-001,3.2,8.1,42.2,81.5,53.5,1.9
BGW-001,3.2,7.9,41.8,82.1,53.9,1.9
BGW-001,3.2,7.8,41.4,82.7,54.5,1.9
BGW-001,3.2,7.6,41.0,83.3,55.1,1.9
BGW-001,3.2,7.5,40.6,84.0,55.8,1.9
BGW-001,3.2,7.3,40.2,84.7,56.6,1.9
BGW-001,3.2,7.2,39.9,85.5,57.4,1.9
BGW-001,3.2,7.1,39.6,86.2,58.3,1.9
BGW-001,3.2,7.0,39.2,87.0,59.1,1.9
BGW-001,3.2,6.9,39.0,87.7,59.9,1.9
BGW-001,3.2,6.8,38.7,88.4,60.6,1.9
BGW-001,3.2,6.7,38.5,89.1,61.3,1.9
BGW-001,3.2,6.6,38.3,89.7,61.9,1.9
BGW-001,3.2,6.6,38.2,90.3,62.3,1.9
