well_id,production_rate,watercut,pressure_bar,temperature_c,oil_viscosity_cp,reservoir_condition,operating_stage
BGW-001,122.1,16.8,37.7,82.4,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,124.3,16.9,37.9,82.8,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,125.9,17.0,38.1,83.2,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,126.6,17.1,38.3,83.6,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,126.2,17.2,38.5,84.0,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,124.8,17.3,38.7,84.4,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-001,122.7,17.4,38.9,84.8,640.5,THERMALLY STIMULATED,CYCLE 2
BGW-002,144.0,19.6,39.2,75.9,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,146.1,19.7,39.4,76.3,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,147.8,19.8,39.6,76.7,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,148.5,19.9,39.8,77.1,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,148.1,20.0,40.0,77.5,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,146.7,20.1,40.2,77.9,822.0,PEAK RECOVERY,CYCLE 3
BGW-002,144.6,20.2,40.4,78.3,822.0,PEAK RECOVERY,CYCLE 3
BGW-003,144.6,22.4,34.8,67.6,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,146.8,22.5,35.0,68.0,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,148.4,22.6,35.2,68.4,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,149.1,22.7,35.4,68.8,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,148.7,22.8,35.6,69.2,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,147.3,22.9,35.8,69.6,1053.1,STABLE PRODUCTION,PRODUCING
BGW-003,145.3,23.0,36.0,70.0,1053.1,STABLE PRODUCTION,PRODUCING
BGW-004,131.0,25.2,27.9,60.5,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,133.1,25.3,28.1,60.9,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,134.7,25.4,28.3,61.3,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,135.4,25.5,28.5,61.7,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,135.0,25.6,28.7,62.1,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,133.7,25.7,28.9,62.5,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-004,131.6,25.8,29.1,62.9,1253.1,THERMALLY STIMULATED,CYCLE 1
BGW-005,58.5,28.0,23.6,56.9,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,60.7,28.1,23.8,57.3,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,62.3,28.2,24.0,57.7,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,63.0,28.3,24.2,58.1,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,62.6,28.4,24.4,58.5,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,61.2,28.5,24.6,58.9,1352.1,PEAK RECOVERY,CYCLE 2
BGW-005,59.1,28.6,24.8,59.3,1352.1,PEAK RECOVERY,CYCLE 2
BGW-006,62.1,30.8,25.2,58.2,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,64.3,30.9,25.4,58.6,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,65.9,31.0,25.6,59.0,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,66.6,31.1,25.8,59.4,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,66.2,31.2,26.0,59.8,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,64.8,31.3,26.2,60.2,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-006,62.8,31.4,26.4,60.6,1315.5,STABLE PRODUCTION,CYCLE 3
BGW-007,86.9,14.0,31.5,63.9,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,89.1,14.1,31.7,64.3,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,90.7,14.2,31.9,64.7,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,91.4,14.3,32.1,65.1,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,91.0,14.4,32.3,65.5,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,89.6,14.5,32.5,65.9,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-007,87.5,14.6,32.7,66.3,1156.2,THERMALLY STIMULATED,PRODUCING
BGW-008,125.1,16.8,37.7,72.0,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,127.2,16.9,37.9,72.4,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,128.9,17.0,38.1,72.8,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,129.6,17.1,38.3,73.2,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,129.2,17.2,38.5,73.6,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,127.8,17.3,38.7,74.0,929.7,PEAK RECOVERY,CYCLE 1
BGW-008,125.7,17.4,38.9,74.4,929.7,PEAK RECOVERY,CYCLE 1
BGW-009,160.8,19.6,39.2,79.7,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,162.9,19.7,39.4,80.1,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,164.6,19.8,39.6,80.5,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,165.3,19.9,39.8,80.9,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,164.9,20.0,40.0,81.3,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,163.5,20.1,40.2,81.7,715.2,STABLE PRODUCTION,CYCLE 2
BGW-009,161.4,20.2,40.4,82.1,715.2,STABLE PRODUCTION,CYCLE 2
BGW-010,119.6,22.4,34.7,84.2,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,121.8,22.5,34.9,84.6,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,123.4,22.6,35.1,85.0,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,124.1,22.7,35.3,85.4,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,123.7,22.8,35.5,85.8,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,122.3,22.9,35.7,86.2,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-010,120.3,23.0,35.9,86.6,587.6,THERMALLY STIMULATED,CYCLE 3
BGW-011,117.5,25.2,27.7,84.1,591.5,PEAK RECOVERY,PRODUCING
BGW-011,119.6,25.3,27.9,84.5,591.5,PEAK RECOVERY,PRODUCING
BGW-011,121.3,25.4,28.1,84.9,591.5,PEAK RECOVERY,PRODUCING
BGW-011,122.0,25.5,28.3,85.3,591.5,PEAK RECOVERY,PRODUCING
BGW-011,121.6,25.6,28.5,85.7,591.5,PEAK RECOVERY,PRODUCING
BGW-011,120.2,25.7,28.7,86.1,591.5,PEAK RECOVERY,PRODUCING
BGW-011,118.1,25.8,28.9,86.5,591.5,PEAK RECOVERY,PRODUCING
BGW-012,102.9,28.0,23.6,79.3,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,105.1,28.1,23.8,79.7,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,106.7,28.2,24.0,80.1,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,107.4,28.3,24.2,80.5,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,107.0,28.4,24.4,80.9,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,105.6,28.5,24.6,81.3,725.5,STABLE PRODUCTION,CYCLE 1
BGW-012,103.5,28.6,24.8,81.7,725.5,STABLE PRODUCTION,CYCLE 1
BGW-013,92.0,30.8,25.3,71.6,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,94.2,30.9,25.5,72.0,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,95.8,31.0,25.7,72.4,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,96.5,31.1,25.9,72.8,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,96.1,31.2,26.1,73.2,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,94.7,31.3,26.3,73.6,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-013,92.7,31.4,26.5,74.0,942.8,THERMALLY STIMULATED,CYCLE 2
BGW-014,98.7,14.0,31.7,63.5,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,100.9,14.1,31.9,63.9,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,102.5,14.2,32.1,64.3,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,103.2,14.3,32.3,64.7,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,102.8,14.4,32.5,65.1,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,101.4,14.5,32.7,65.5,1167.6,PEAK RECOVERY,CYCLE 3
BGW-014,99.4,14.6,32.9,65.9,1167.6,PEAK RECOVERY,CYCLE 3
BGW-015,66.2,16.8,37.8,58.0,1321.2,STABLE PRODUCTION,PRODUCING
BGW-015,68.4,16.9,38.0,58.4,1321.2,STABLE PRODUCTION,PRODUCING
BGW-015,70.0,17.0,38.2,58.8,1321.2,STABLE PRODUCTION,PRODUCING
BGW-015,70.7,17.1,38.4,59.2,1321.2,STABLE PRODUCTION,PRODUCING
BGW-015,70.3,17.2,38.6,59.6,1321.2,STABLE PRODUCTION,PRODUCING
